gene_id	gene_short_name	cluster	Cartilage_GO:0051216	HH_GO:0007224	WNT_GO:0016055	BMP_GO:0030509	TGFb_GO:0007179	FGFR_GO:0008543	panel	highlight
ENSMUSG00000030834	Abcc6	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000040136	Abcc8	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000009471	Myod1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000030470	Csrp3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000055409	Nell1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000063297	Luzp2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000055026	Gabrg3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000030523	Trpm1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000074071	Fam169b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000032776	Mctp2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000053025	Sv2b	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000059146	Ntrk3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000030609	Aen	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000070469	Adamtsl3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000038570	Saxo2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000070462	Tlnrd1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000030616	Sytl2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000052572	Dlg2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000051515	Fam181b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000042797	Aqp11	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000008318	Relt	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000070424	Art5	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000030996	Art1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000060441	Trim5	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000048065	Cyb5r2	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000031027	Stk33	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000007279	Scube2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000005686	Ampd3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000005611	Mrvi1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000051910	Sox6	B	yes	no	no	no	no	no	cartilage main	yes
ENSMUSG00000030905	Crym	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000046182	Gsg1l	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000030730	Atp2a1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000030683	Sez6l2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000030677	Kif22	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000030672	Mylpf	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000042462	Dctpp1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000041836	Ptpre	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000091002	Tcerg1l	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000025515	Muc2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000031097	Tnni2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000061723	Tnnt3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000009246	Trpm5	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000000154	Slc22a18	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000050917	Fgf4	A	no	no	no	no	no	yes	fgf and HH main	yes
ENSMUSG00000040653	Ppp1r14c	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000040675	Mthfd1l	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000019768	Esr1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000079685	Ulbp1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000039981	Zc3h12d	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000050994	Adgb	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000019832	Rab32	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000015501	Hivep2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000039891	Txlnb	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000019990	Pde7b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000078452	Raet1d	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000049420	Tmem200a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000019880	Rspo3	B	no	no	yes	no	no	no	NA	NA
ENSMUSG00000075266	Cenpw	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000000296	Tpd52l1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000044499	Hs3st5	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000071324	Armc2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000044770	Scml4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000038151	Prdm1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000019848	Popdc3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000056073	Grik2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000019913	Sim1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000049641	Vgll2	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000003227	Edar	A	no	no	no	no	no	no	WNT main	
ENSMUSG00000020089	Ppa1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000020080	Hkdc1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000020075	Ddx21	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000020067	Mypn	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000046807	Lrrc75b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000033318	Gstt2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000033105	Lss	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000020135	Apc2	B	no	no	yes	no	no	no	NA	NA
ENSMUSG00000055862	Izumo4	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000051067	Lingo3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000034949	Zfr2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000078439	Smim24	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000096795	Zfp433	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000112640	Gm32687	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000020034	Tcp11l2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000020037	Rfx4	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000020053	Igf1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000020014	Cfap54	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000036446	Lum	C	yes	no	no	no	no	no	NA	NA
ENSMUSG00000019932	Kera	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000019960	Dusp6	A	no	no	no	no	no	no	fgf and HH main	yes
ENSMUSG00000019888	Mgat4c	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000053825	Ppfia2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000035948	Acss3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000000435	Myf5	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000020140	Lgr5	A	no	no	no	no	no	no	WNT main	yes
ENSMUSG00000020218	Wif1	A	no	no	yes	no	no	no	WNT main	
ENSMUSG00000047642	D930020B18Rik	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000034613	Ppm1h	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000040258	Nxph4	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000025400	Tac2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000044005	Gls2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000018166	Erbb3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000039057	Myo16	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000031489	Adrb3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000039661	Dusp26	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000031530	Dusp4	A	no	no	no	no	no	no	fgf and HH main	yes
ENSMUSG00000079057	Cyp4v3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000031626	Sorbs2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000031636	Pdlim3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000057228	Aadat	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000031647	Mfap3l	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000054162	Spock3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000031604	Msmo1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000036437	Npy1r	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000035964	Tmem59l	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000007888	Crlf1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000031803	B3gnt3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000064325	Hhip	C	no	no	no	no	no	no	fgf and HH main	
ENSMUSG00000031661	Nkd1	A	no	no	yes	no	no	no	WNT main	
ENSMUSG00000055368	Slc6a2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000036510	Cdh8	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000031880	Rrad	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000031906	Smpd3	A	yes	no	no	yes	no	no	NA	NA
ENSMUSG00000031952	Chst5	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000055435	Maf	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000031837	Necab2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000046714	Foxc2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000040010	Slc7a5	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000000739	Sult5a1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000031972	Acta1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000050751	Pgbd5	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000096039	D830030K20Rik	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000079391	Gm2974	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000079388	2610042L04Rik	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000094132	Gm3264	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000095681	Gm8281	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000096904	Lamtor3-ps	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000091754	Gm3636	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000093985	Gm10406	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000092167	Gm3696	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000090363	Gm3512	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000091617	Gm3752	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000045201	Lrrc3b	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000093979	Gm2237	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000048502	Duxbl1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000021895	Arhgef3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000042485	Mustn1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000042354	Gnl3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000091898	Tnnc1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000051506	Wdfy4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000021950	Anxa8	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000021803	Cdhr1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000096001	2610528A11Rik	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000049235	Gm7324	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000071489	Ptgdr	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000021835	Bmp4	A	yes	no	no	yes	no	no	Bmp main	yes
ENSMUSG00000004558	Ndrg2	B	no	no	yes	no	no	no	NA	NA
ENSMUSG00000053093	Myh7	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000002324	Rec8	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000048582	Gja3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000060548	Tnfrsf19	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000035296	Sgcg	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000046049	Rp1l1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000022033	Pbk	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000022034	Esco2	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000003469	Phyhip	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000022018	Rgcc	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000022025	Cnmd	B	yes	no	no	no	no	no	NA	NA
ENSMUSG00000036422	Pcdh8	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000055421	Pcdh9	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000022122	Ednrb	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000075478	Slitrk1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000058126	Tpm3-rs7	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000022129	Dct	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000025558	Dock9	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000041703	Zic5	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000032193	Ldlr	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000019066	Rab3d	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000031963	Bmper	B	no	no	no	no	no	no	cartilage main	yes
ENSMUSG00000085576	Dpy19l2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000031994	Adamts8	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000032033	Barx2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000032122	Slc37a2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000038112	AW551984	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000037705	Tecta	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000048534	Jaml	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000032089	Il10ra	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000032060	Cryab	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000053199	Arhgap20	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000078307	AI593442	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000042195	Slc35f2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000042045	Sln	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000046167	Gldn	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000032281	Acsbg1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000032291	Crabp1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000034839	Larp6	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000032243	Itga11	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000041064	Pif1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000040204	Pclaf	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000053040	Aph1c	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000013584	Aldh1a2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000032221	Mns1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000062151	Unc13c	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000044976	Wdr72	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000034858	Fam214a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000044938	Klhl31	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000039313	Minar1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000032368	Zic1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000032452	Clstn2	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000032456	Nmnat3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000032537	Ephb1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000032548	Slco2a1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000043719	Col6a6	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000091345	Col6a5	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000057969	Sema3b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000032503	Arpp21	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000032446	Eomes	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000010651	Acaa1b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000034115	Scn11a	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000074001	Klhl40	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000034614	Pik3ip1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000049721	Gal3st1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000057897	Camk2b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000020429	Igfbp1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000048834	Vstm2a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000049811	Fam161a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000020159	Gabrp	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000020330	Hmmr	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000020415	Pttg1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000057098	Ebf1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000000782	Tcf7	A	no	no	yes	no	no	no	WNT main	
ENSMUSG00000036264	Fstl4	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000020333	Acsl6	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000020268	Lyrm7	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000037335	Hand1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000078851	H2aw	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000061462	Obscn	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000009900	Wnt3a	B	no	no	yes	yes	no	no	NA	NA
ENSMUSG00000049892	Rasd1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000020534	Shmt1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000020542	Myocd	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000050270	Tmem220	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000055775	Myh8	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000060180	Myh13	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000033044	Dhrs7c	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000020901	Pik3r5	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000060938	Rpl26	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000041329	Atp1b2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000020828	Pld2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000005951	Shpk	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000000632	Sez6	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000037278	Tmem97	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000018845	Unc45b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000082101	Slfn14	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000018698	Lhx1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000048616	Nog	B	yes	no	no	no	no	no	cartilage main	yes
ENSMUSG00000047773	Ankfn1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000037601	Nme1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000044177	Wfikkn2	B	no	no	no	no	yes	no	NA	NA
ENSMUSG00000020865	Abcc3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000039084	Chad	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000018973	Hoxb1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000043439	Epop	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000017499	Cdc6	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000035775	Krt20	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000051617	Krt9	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000014198	Zfp385c	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000035112	Wnk4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000017724	Etv4	A	no	no	no	no	no	no	fgf and HH main	yes
ENSMUSG00000001494	Sost	A	no	no	yes	no	no	no	Bmp main	yes
ENSMUSG00000051455	Meioc	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000061086	Myl4	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000019590	Cyb561	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000000142	Axin2	A	no	no	yes	no	no	no	WNT main	yes
ENSMUSG00000020620	Abca8b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000018800	Abca5	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000041695	Kcnj2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000000567	Sox9	B	yes	no	no	no	no	no	cartilage main	yes
ENSMUSG00000000202	Btbd17	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000034652	Cd300a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000020734	Grin2c	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000020793	Galr2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000025572	Tmc6	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000025576	Rbfox3	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000025582	Nptx1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000042988	Notum	A	no	no	yes	no	no	no	WNT main	yes
ENSMUSG00000025150	Cbr2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000078249	Hmga1b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000039321	Uts2r	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000025170	Rab40b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000045410	Akr1e1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000052551	Adarb2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000058258	Idi1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000046159	Chrm3	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000021313	Ryr2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000052374	Actn2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000041324	Inhba	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000021314	Amph	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000094338	H2bc13	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000114279	H2bc14	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000036181	H1f2	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000069310	H3c3	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000021340	Gpld1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000050295	Foxc1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000044951	Mylk4	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000044566	Cage1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000054728	Phactr1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000038132	Rbm24	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000021391	Cenpp	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000021390	Ogn	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000047842	Diras2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000005320	Fgfr4	C	no	no	no	no	no	yes	fgf and HH main	
ENSMUSG00000021506	Pitx1	C	yes	no	no	no	no	no	NA	NA
ENSMUSG00000014164	Klhl3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000055254	Ntrk2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000033063	Cntnap3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000055560	Zfp459	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000052981	Ube2ql1	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000049538	Adamts16	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000021567	Nkd2	A	no	no	yes	no	no	no	WNT main	
ENSMUSG00000021684	Pde8b	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000021680	Crhbp	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000092116	Gm10320	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000045273	Cenph	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000041431	Ccnb1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000021697	Depdc1b	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000051456	Hspb3	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000021765	Fst	B	no	no	no	yes	no	no	NA	NA
ENSMUSG00000042258	Isl1	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000021730	Hcn1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000074715	Ccl28	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000037169	Mycn	A	no	no	no	no	no	no	WNT main	
ENSMUSG00000073197	5730507C01Rik	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000020649	Rrm2	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000020641	Rsad2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000035860	Cdhr3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000035799	Twist1	A	no	no	no	no	no	no	Bmp main	yes
ENSMUSG00000002565	Scin	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000036295	Lrrn3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000061603	Akap6	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000021010	Npas3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000073079	Srp54a	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000001497	Pax9	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000090121	Abhd12b	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000021071	Trim9	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000042808	Gpx2	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000021221	Dpf3	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000034258	Flvcr2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000021255	Esrrb	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000045404	Kcnk13	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000021200	Asb2	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000054150	Syne3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000021259	Cyp46a1	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000075707	Dio3	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000060950	Trmt61a	A	no	no	no	no	no	no	NA	NA
ENSMUSG00000043122	A530016L24Rik	C	no	no	no	no	no	no	NA	NA
ENSMUSG00000018581	Dnah11	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000064373	Selenop	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000049148	Plcxd3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000058914	C1qtnf3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000060735	Rxfp3	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000047497	Adamts12	B	no	no	no	no	no	no	NA	NA
ENSMUSG00000025370	Cdh9	B	no	no	no	no	no	no	NA	NA
